Welcome To GreaterWMS
2024-02-11 17:02:02,680 INFO     Starting server at tcp:port=8008:interface=0.0.0.0
2024-02-11 17:02:02,682 INFO     HTTP/2 support enabled
2024-02-11 17:02:02,682 INFO     Configuring endpoint tcp:port=8008:interface=0.0.0.0
2024-02-11 17:02:02,684 INFO     Listening on TCP address 0.0.0.0:8008
Welcome To GreaterWMS
2024-02-11 17:03:57,310 INFO     Starting server at tcp:port=8008:interface=0.0.0.0
2024-02-11 17:03:57,311 INFO     HTTP/2 support enabled
2024-02-11 17:03:57,312 INFO     Configuring endpoint tcp:port=8008:interface=0.0.0.0
2024-02-11 17:03:57,314 INFO     Listening on TCP address 0.0.0.0:8008
172.18.0.1:34390 - - [11/Feb/2024:17:05:34] "GET /" 200 907
172.18.0.1:34974 - - [11/Feb/2024:17:05:34] "GET /css/app.45730797.css" 200 1376
172.18.0.1:34970 - - [11/Feb/2024:17:05:34] "GET /css/vendor.2ac1ba6a.css" 200 208815
172.18.0.1:34390 - - [11/Feb/2024:17:05:34] "GET /js/app.d0fc56b0.js" 200 269795
172.18.0.1:34972 - - [11/Feb/2024:17:05:35] "GET /js/vendor.4a49a306.js" 200 2250242
172.18.0.1:34970 - - [11/Feb/2024:17:05:36] "GET /statics/baseurl.txt" 200 23
172.18.0.1:34390 - - [11/Feb/2024:17:05:37] "GET /css/2.74c09acd.css" 200 107
172.18.0.1:34970 - - [11/Feb/2024:17:05:37] "GET /js/2.3f459fa1.js" 200 27711
172.18.0.1:34974 - - [11/Feb/2024:17:05:37] "GET /js/62.846260f9.js" 200 361455
172.18.0.1:34974 - - [11/Feb/2024:17:05:38] "GET /fonts/KFOmCnqEu92Fr1Mu4mxM.f1e2a767.woff" 200 20344
172.18.0.1:34970 - - [11/Feb/2024:17:05:38] "GET /statics/icons/IOS.png" 200 3161
172.18.0.1:34390 - - [11/Feb/2024:17:05:38] "GET /statics/icons/android.png" 200 7470
172.18.0.1:35008 - - [11/Feb/2024:17:05:38] "GET /statics/icons/GitHub.png" 200 8624
172.18.0.1:34974 - - [11/Feb/2024:17:05:38] "GET /fonts/KFOlCnqEu92Fr1MmWUlfBBc-.77ecb942.woff" 200 20408
172.18.0.1:34970 - - [11/Feb/2024:17:05:38] "GET /fonts/KFOlCnqEu92Fr1MmEU9fBBc-.48af7707.woff" 200 20544
172.18.0.1:35008 - - [11/Feb/2024:17:05:38] "GET /fonts/flUhRq6tzZclQEJ-Vdg-IuiaDsNcIhQ8tQ.c08197a9.woff2" 200 128264
172.18.0.1:34974 - - [11/Feb/2024:17:05:40] "GET /warehouse/multiple/?max_page=30" 200 52
172.18.0.1:55660 - - [11/Feb/2024:17:09:39] "POST /register/" 200 148
172.18.0.1:36050 - - [11/Feb/2024:17:09:39] "GET /" 200 907
172.18.0.1:36050 - - [11/Feb/2024:17:09:39] "GET /css/vendor.2ac1ba6a.css" 200 208815
172.18.0.1:36062 - - [11/Feb/2024:17:09:39] "GET /css/app.45730797.css" 200 1376
172.18.0.1:36070 - - [11/Feb/2024:17:09:40] "GET /js/vendor.4a49a306.js" 200 2250242
172.18.0.1:36074 - - [11/Feb/2024:17:09:41] "GET /js/app.d0fc56b0.js" 200 269795
172.18.0.1:36074 - - [11/Feb/2024:17:09:41] "GET /statics/baseurl.txt" 200 23
172.18.0.1:36050 - - [11/Feb/2024:17:09:42] "GET /js/62.846260f9.js" 200 361455
172.18.0.1:36062 - - [11/Feb/2024:17:09:42] "GET /js/2.3f459fa1.js" 200 27711
172.18.0.1:36074 - - [11/Feb/2024:17:09:42] "GET /css/2.74c09acd.css" 200 107
172.18.0.1:36062 - - [11/Feb/2024:17:09:42] "GET /statics/icons/android.png" 200 7470
172.18.0.1:36074 - - [11/Feb/2024:17:09:42] "GET /statics/icons/IOS.png" 200 3161
172.18.0.1:36050 - - [11/Feb/2024:17:09:42] "GET /statics/icons/GitHub.png" 200 8624
172.18.0.1:36062 - - [11/Feb/2024:17:09:44] "GET /warehouse/multiple/?max_page=30" 200 380
172.18.0.1:36074 - - [11/Feb/2024:17:09:45] "GET /staff/?staff_name=bachir" 200 238
172.18.0.1:36074 - - [11/Feb/2024:17:09:46] "GET /statics/icons/logout.png" 200 3153
172.18.0.1:36050 - - [11/Feb/2024:17:09:47] "GET /statics/staff/stafftype.png" 200 5872
172.18.0.1:36050 - - [11/Feb/2024:17:09:48] "GET /" 200 907
172.18.0.1:36062 - - [11/Feb/2024:17:09:48] "GET /js/app.d0fc56b0.js" 200 269795
172.18.0.1:36074 - - [11/Feb/2024:17:09:49] "GET /js/vendor.4a49a306.js" 200 2250242
172.18.0.1:56430 - - [11/Feb/2024:17:09:49] "GET /css/app.45730797.css" 200 1376
172.18.0.1:36050 - - [11/Feb/2024:17:09:49] "GET /css/vendor.2ac1ba6a.css" 200 208815
172.18.0.1:36074 - - [11/Feb/2024:17:09:50] "GET /statics/baseurl.txt" 200 23
172.18.0.1:56430 - - [11/Feb/2024:17:09:50] "GET /js/62.846260f9.js" 200 361455
